query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,466480,4,True,64.33667378300001
2,ming,6,5,True,0.2872616319999963
3,ming,3,2,True,0.07365955499999188
4,ming,2,1,True,0.10094858400000817
5,ming,2,1,True,0.10487192200000095
6,ming,3,2,True,0.04136032300000636
7,ming,8,3,True,0.04210602400000596
8,ming,2,1,True,0.09229053900000395
9,ming,3,2,True,0.013274675999994656
10,ming,2,1,True,0.08761831299999301
11,ming,3,2,True,0.011826975000005291
12,ming,4,3,True,0.03372252399999809
13,ming,2,1,True,0.13572180599999228
14,ming,3,2,True,0.022391161000001603
15,ming,2,1,True,0.1028038099999975
16,ming,2,1,True,0.11768789299999582
17,ming,5,4,True,0.08050900899999647
18,ming,3246,2,True,1.9252361700000051
19,ming,3,2,True,0.016301405999996632
20,ming,3,2,True,0.04269590700000947
21,ming,3,2,True,0.2945785520000044
22,ming,2,1,True,0.010782396999999833
23,ming,2790,7,True,1.617001166999998
24,ming,3,2,True,0.013236943999999085
25,ming,2400,5,True,1.349012744999996
26,ming,3,2,True,0.03637049600000353
27,ming,5893,5,True,1.5094311299999958
28,ming,5,4,True,0.028302195999998503
29,ming,3,2,True,0.007865683000005674
30,ming,3,2,True,0.046716027000002214
31,ming,8,7,True,0.23938615199999447
32,ming,2,1,True,0.08337768599999151
33,ming,2,1,True,0.11167079000000513
34,ming,2,1,True,0.00010892600001000119
35,ming,3,2,True,0.04895438799999852
36,ming,2,1,True,0.14405621299999893
37,ming,7,6,True,0.2343416859999934
38,ming,3,2,True,0.013335393000005524
39,ming,3,2,True,0.00012689799999066054
40,ming,3,2,True,0.01660438000000397
41,ming,3,2,True,0.018780810999999176
42,ming,3,2,True,0.07259774599999957
43,ming,4,3,True,0.02697457400000758
44,ming,3246,2,True,0.2096418920000076
45,ming,6,5,True,0.1744506179999945
46,ming,6,5,True,0.10798122500000318
47,ming,2,1,True,0.11628223600000354
48,ming,3,2,True,0.261918687000005
49,ming,5,4,True,0.05555608999999606
50,ming,7,6,True,0.24861287100000595
51,ming,3246,2,True,0.21827102499999285
52,ming,3246,2,True,0.21036234799998965
53,ming,7,5,True,0.6180471059999917
54,ming,3,2,True,0.013232750000000237
55,ming,4,3,True,0.008864174999999364
56,ming,37585,4,True,7.634811178999996
57,ming,966,7,True,1.3317332109999995
58,ming,3,2,True,0.012598512000010942
59,ming,5,4,True,0.17232475999999508
60,ming,5,4,True,0.04395226100000116
61,ming,3,2,True,0.024994449000004693
62,ming,3,2,True,0.020726617999997643
63,ming,3,2,True,0.0774669320000072
64,ming,30764,6,True,4.437193131000001
65,ming,4,3,True,0.03350816199998974
66,ming,471,5,True,2.157383793000008
67,ming,3,2,True,0.2826348050000007
68,ming,3,2,True,0.1189071590000026
69,ming,31472,5,True,14.41586664799999
70,ming,2,1,True,0.08208246799999586
71,ming,3,2,True,0.026646736000003557
72,ming,6,5,True,0.05166884099999436
73,ming,2,1,True,0.13505454699999575
74,ming,8,7,True,0.12070021400000996
75,ming,3,2,True,0.2626486719999974
76,ming,3,2,True,0.016832974999999806
77,ming,3,2,True,0.013920510999994917
78,ming,4,3,True,0.026747987000007356
79,ming,3,2,True,0.00016360800000825293
80,ming,3,2,True,0.008237563000008663
81,ming,4,3,True,0.020704112000004216
82,ming,3,2,True,0.25799636400000736
83,ming,3246,2,True,0.22436064400000078
84,ming,3,2,True,0.018321415000002617
85,ming,6,5,True,0.14154954900000405
86,ming,3,2,True,0.016350023999990526
87,ming,2,1,True,0.028222216000003186
88,ming,77,4,True,0.15980686400000366
89,ming,5,4,True,0.05562996800000519
90,ming,3,2,True,0.01206282700000827
91,ming,3,2,True,9.965499999964322e-05
92,ming,2,1,True,0.10561257499999499
93,ming,3,2,True,0.00865582500000528
94,ming,5,4,True,0.025892794999990087
95,ming,17573,4,True,4.281654392999997
96,ming,3,2,True,0.08551519799999596
97,ming,4,3,True,0.18970181600001013
98,ming,8279,2,True,0.9957888320000023
99,ming,6,5,True,0.06846199799998942
100,ming,4,3,True,0.029234654999996224
