query,std reasoner,std nodes explored,std min depth,success,time
1,std,47419,4,True,2.2490258670000003
2,std,429,5,True,0.2801781590000001
3,std,3,2,True,0.0007636770000001292
4,std,2,1,True,0.0005163269999997055
5,std,2,1,True,0.002298858999999709
6,std,3,2,True,0.0021349229999998443
7,std,4,3,True,0.001814662999999328
8,std,2,1,True,0.000500719999999788
9,std,3,2,True,0.0023875090000000654
10,std,2,1,True,0.000507339999998635
11,std,3,2,True,0.00221478199999936
12,std,13,3,True,0.003962765000000701
13,std,2,1,True,0.0006729819999993225
14,std,3,2,True,0.0009675680000000852
15,std,2,1,True,0.0004929830000008906
16,std,2,1,True,0.0012160889999996982
17,std,10,4,True,0.0042209490000004735
18,std,3,2,True,0.0007184130000013056
19,std,3,2,True,0.0005630589999991997
20,std,3,2,True,0.0024716019999999617
21,std,3,2,True,0.002652315999998933
22,std,2,1,True,0.0005670829999999683
23,std,101449,7,True,6.233860704
24,std,3,2,True,0.0022856719999992947
25,std,6,5,True,0.004260351000000995
26,std,3,2,True,0.0023444829999998973
27,std,6,5,True,0.002642534000001362
28,std,5,4,True,0.0015315130000015387
29,std,3,2,True,0.002718162999999052
30,std,3,2,True,0.000806130999999155
31,std,9,7,True,0.005072759999999121
32,std,2,1,True,0.0005998550000008152
33,std,2,1,True,0.0008281209999996264
34,std,2,1,True,5.939699999935044e-05
35,std,3,2,True,0.002197117999999776
36,std,2,1,True,0.0006753239999994776
37,std,142573,6,True,5.535980566000001
38,std,3,2,True,0.00274999999999892
39,std,3,2,True,7.577200000241646e-05
40,std,3,2,True,0.0023393499999997402
41,std,3,2,True,0.0025747739999992802
42,std,3,2,True,0.0008927320000005068
43,std,4,3,True,0.0020887599999994677
44,std,3,2,True,6.525000000223713e-05
45,std,6,5,True,0.003290194999998164
46,std,24754,5,True,0.7728182209999979
47,std,2,1,True,0.0007619700000027763
48,std,3,2,True,0.0030702659999981563
49,std,5,4,True,0.003330689000001996
50,std,192085,6,True,5.831576781999999
51,std,3,2,True,0.0005507959999988543
52,std,3,2,True,5.3639000000771375e-05
53,std,6,5,True,0.005196296999997685
54,std,3,2,True,0.0023763469999984466
55,std,4,3,True,0.0009171190000003548
56,std,6,4,True,0.002330017999998546
57,std,629,7,True,0.06890556699999806
58,std,3,2,True,0.002373968000000559
59,std,41,6,True,0.032221799999998524
60,std,5,4,True,0.0022398549999991246
61,std,3,2,True,0.0022256980000001647
62,std,5,4,True,0.004072457999999557
63,std,3,2,True,0.0008163830000000871
64,std,260,7,True,0.01764573000000169
65,std,4,3,True,0.0014658700000005354
66,std,6,5,True,0.0036798099999977296
67,std,3,2,True,0.002527424000000167
68,std,101439,2,True,2.1612947700000014
69,std,90,5,True,0.0777130029999995
70,std,2,1,True,0.0010175679999981924
71,std,3,2,True,0.0020534780000005526
72,std,15,5,True,0.008798603999998988
73,std,2,1,True,0.0007952119999998786
74,std,8,7,True,0.004713981000001866
75,std,3,2,True,0.0026421029999994516
76,std,3,2,True,0.001755529000000422
77,std,3,2,True,0.002319746999997818
78,std,6,3,True,0.0022104239999976016
79,std,4,3,True,0.0004060779999974784
80,std,3,2,True,0.0006664980000010701
81,std,4,3,True,0.0027135579999999493
82,std,3,2,True,0.002488302999999803
83,std,3,2,True,0.0005705060000025242
84,std,3,2,True,0.001103048999997469
85,std,363,5,True,0.019688620000000157
86,std,3,2,True,0.030620524999999787
87,std,2,1,True,0.0009309359999996047
88,std,5,4,True,0.0030250059999978873
89,std,5,4,True,0.005920380999999253
90,std,3,2,True,0.002981944000001846
91,std,3,2,True,7.183700000013005e-05
92,std,2,1,True,0.0007599509999991483
93,std,3,2,True,0.0010918510000017534
94,std,5,4,True,0.003479532000000063
95,std,5,4,True,0.003445961000000608
96,std,3,2,True,0.0010691830000020275
97,std,51,3,True,0.025663105999999658
98,std,3,2,True,0.0008132100000004527
99,std,12074,7,True,0.49598691199999934
100,std,4,3,True,0.0011261200000021176
